date,avg_module_temp,avg_amb_temp,avg_wind_speed,avg_irradiance,total_ac_power_w,readings_count,daily_solar_kwh,synth_humidity,synth_cloud_cover,load_kwh,avg_amb_temp_lag1,avg_amb_temp_lag2,avg_amb_temp_lag3,avg_amb_temp_roll7,synth_humidity_lag1,synth_humidity_lag2,synth_humidity_lag3,synth_humidity_roll7,synth_cloud_cover_lag1,synth_cloud_cover_lag2,synth_cloud_cover_lag3,synth_cloud_cover_roll7,avg_wind_speed_lag1,avg_wind_speed_lag2,avg_wind_speed_lag3,avg_wind_speed_roll7,avg_irradiance_lag1,avg_irradiance_lag2,avg_irradiance_lag3,avg_irradiance_roll7,daily_solar_kwh_lag1,daily_solar_kwh_lag2,daily_solar_kwh_lag3,daily_solar_kwh_roll7,predicted_solar_kwh,grid_deficit_kwh,solar_sufficient
2024-10-23,38.12228944444445,22.965723541666666,32.958241711805556,455.3108277777778,18829089,144,1569.09075,65.7828435229647,23.355114648171316,1722.1287617978685,21.612367777777777,23.502934097222223,25.08357104166667,23.134708749999998,66.32550607670994,67.52673089176916,68.44863828300595,67.70566422467195,32.797491312923455,33.99370223969823,21.489460078873158,33.81432956724347,30.65567809166667,24.440571972222223,27.26546946111111,29.55032375674603,406.52647145833333,534.70555125,584.4954689583333,472.8320395833333,1400.8671666666664,1833.1003333333333,2001.4618333333333,1636.9467023809523,1583.2798385625088,138.84892323535973,False
2024-10-24,34.552307569444444,21.96878597222222,38.41133541111111,409.64665381944445,17390006,144,1449.1671666666666,68.8518406628089,31.51046246334345,1376.8329514394406,22.965723541666666,21.612367777777777,23.502934097222223,22.99228904761905,65.7828435229647,66.32550607670994,67.52673089176916,67.71118000141207,23.355114648171316,32.797491312923455,33.99370223969823,33.08138863392879,32.958241711805556,30.65567809166667,24.440571972222223,30.544221134920633,455.3108277777778,406.52647145833333,534.70555125,468.5774301686507,1569.09075,1400.8671666666664,1833.1003333333333,1626.2791071428571,1643.5188590252333,0.0,True
2024-10-25,33.81098791666667,21.44190638888889,37.857595975694444,362.97691958333337,15742268,144,1311.8556666666666,66.56192294988672,60.228674770030096,1534.9463804346544,21.96878597222222,22.965723541666666,21.612367777777777,22.83215910714286,68.8518406628089,65.7828435229647,66.32550607670994,67.3931349266168,31.51046246334345,23.355114648171316,32.797491312923455,33.48905968537162,38.41133541111111,32.958241711805556,30.65567809166667,31.03278696547619,409.64665381944445,455.3108277777778,406.52647145833333,461.74766192460316,1449.1671666666666,1569.09075,1400.8671666666664,1605.5861190476191,1562.1372534847417,0.0,True
2024-10-26,30.706977708333334,20.63092798611111,41.95361468888889,286.9981257638889,12284023,144,1023.6685833333332,66.12030709355862,56.152407300209646,1238.3006434238362,21.44190638888889,21.96878597222222,22.965723541666666,22.458030972222222,66.56192294988672,68.8518406628089,65.7828435229647,67.08825564010057,60.228674770030096,31.51046246334345,23.355114648171316,37.075330401892764,37.857595975694444,38.41133541111111,32.958241711805556,33.36321533035714,362.97691958333337,409.64665381944445,455.3108277777778,434.3800026587301,1311.8556666666666,1449.1671666666666,1569.09075,1512.7445,1524.1457277348004,0.0,True
2024-10-27,29.75067576388889,20.450136180555557,37.51212822777778,313.364455625,12997453,144,1083.1210833333332,70.30708304818171,77.410207898454,1371.7876926818642,20.63092798611111,21.44190638888889,21.96878597222222,21.796111706349205,66.12030709355862,66.56192294988672,68.8518406628089,67.3537477494114,56.152407300209646,60.228674770030096,31.51046246334345,45.06400866183289,41.95361468888889,37.857595975694444,38.41133541111111,34.82702372559524,286.9981257638889,362.97691958333337,409.64665381944445,395.6470007539683,1023.6685833333332,1311.8556666666666,1449.1671666666666,1381.5529642857143,1405.4598126686508,0.0,True
2024-10-28,33.05484215277778,20.20735826388889,32.90699945833333,412.41193006944445,17473687,144,1456.1405833333333,68.62143478095128,38.82179108605243,1552.0358070234147,20.450136180555557,20.63092798611111,21.44190638888889,21.32531515873016,70.30708304818171,66.12030709355862,66.56192294988672,67.51013401929455,77.410207898454,56.152407300209646,60.228674770030096,45.75373563988348,37.51212822777778,41.95361468888889,37.857595975694444,36.036513366468256,313.364455625,286.9981257638889,362.97691958333337,378.1764834424603,1083.1210833333332,1023.6685833333332,1311.8556666666666,1327.7015714285715,1336.3164509722221,215.71935605119256,False
2024-10-29,37.49428625,22.57314701388889,30.72675425,483.79177229166663,20811612,144,1734.301,76.233391435969,35.00479466662808,1515.3930196339663,20.20735826388889,20.450136180555557,20.63092798611111,21.462569335317458,68.62143478095128,70.30708304818171,66.12030709355862,68.9255462134744,38.82179108605243,77.410207898454,56.152407300209646,46.06906469041272,32.90699945833333,37.51212822777778,41.95361468888889,36.04666710337302,412.41193006944445,313.364455625,286.9981257638889,389.21438356150793,1456.1405833333333,1083.1210833333332,1023.6685833333332,1375.334976190476,1433.158424258169,82.23459537579743,False
2024-10-30,40.546404583333334,23.23432888888889,22.367768069444445,527.4596152777777,21794414,144,1816.2011666666665,55.1279865135905,39.86542623259743,1481.924874058882,22.57314701388889,20.20735826388889,20.450136180555557,21.500941527777776,76.233391435969,68.62143478095128,70.30708304818171,67.40342378356382,35.00479466662808,38.82179108605243,77.410207898454,48.42768063104502,30.72675425,32.90699945833333,37.51212822777778,34.53374229732143,483.79177229166663,412.41193006944445,313.364455625,399.5213532043651,1734.301,1456.1405833333333,1083.1210833333332,1410.636464285714,1664.9014438574127,0.0,True
2024-10-31,42.51513645833333,23.812863055555553,27.625813494444444,556.3398471527778,22857782,144,1904.8151666666665,73.55110273183453,39.60922786474389,1586.2389129711948,23.23432888888889,22.57314701388889,20.20735826388889,21.764381111111113,55.1279865135905,76.233391435969,68.62143478095128,68.07474693628177,39.86542623259743,35.00479466662808,38.82179108605243,49.58464711695937,22.367768069444445,30.72675425,32.90699945833333,32.992953452083334,527.4596152777777,483.79177229166663,412.41193006944445,420.47752368055563,1816.2011666666665,1734.301,1456.1405833333333,1475.7290357142858,1577.679817118056,8.559095853138842,False
2024-11-01,38.71534555555556,23.37896236111111,28.715109820833334,420.8556625694444,17227217,144,1435.6014166666664,74.54094478193258,58.6676556193557,1292.3519086217586,23.812863055555553,23.23432888888889,22.57314701388889,22.041103392857142,73.55110273183453,55.1279865135905,76.233391435969,69.2146071980026,39.60922786474389,39.86542623259743,35.00479466662808,49.361644381148736,27.625813494444444,22.367768069444445,30.72675425,31.686884001388886,556.3398471527778,527.4596152777777,483.79177229166663,428.74591553571423,1904.8151666666665,1816.2011666666665,1734.301,1493.407,1540.4104924305555,0.0,True
